@relation recordings_dd

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 string
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 string
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 string
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute att161 numeric
@attribute att162 numeric
@attribute att163 numeric
@attribute att164 numeric
@attribute att165 numeric
@attribute att166 numeric
@attribute att167 numeric
@attribute att168 numeric
@attribute att169 numeric
@attribute att170 numeric
@attribute att171 numeric
@attribute att172 numeric
@attribute att173 numeric
@attribute att174 numeric
@attribute att175 numeric
@attribute att176 numeric
@attribute att177 numeric
@attribute att178 numeric
@attribute att179 numeric
@attribute att180 numeric
@attribute att181 {DOWN,UP,LEFT,RIGHT,IN,OUT,IDLE}

@data
4,4,7,-43,76,-16,4,4,7,-43,76,-16,-3,-5,0,-4,6,-17,4,4,7,-43,76,-16,-3,-5,0,-4,6,-17,3,1,14,-111,136,-55,4,4,7,-43,76,-16,-3,-5,0,-4,6,-17,3,1,14,-111,136,-55,-17,-3,10,-134,24,-7,4,4,7,-43,76,-16,-3,-5,0,-4,6,-17,3,1,14,-111,136,-55,-17,-3,10,-134,24,-7,-8,0,22,-318,106,-101,4,4,7,-43,76,-16,-3,-5,0,-4,6,-17,3,1,14,-111,136,-55,-17,-3,10,-134,24,-7,-8,0,22,-318,106,-101,-6,-27,3,-444,355,-246,4,4,7,-43,76,-16,-3,-5,0,-4,6,-17,3,1,14,-111,136,-55,-17,-3,10,-134,24,-7,-8,0,22,-318,106,-101,-6,-27,3,-444,355,-246,-52,-45,26,-145,-507,-29,4,4,7,-43,76,-16,-3,-5,0,-4,6,-17,DOWN
-1,-1,-1,-14,-17,6,-1,-1,1,6,3,-9,-1,-1,-1,-14,-17,6,-1,-1,1,6,3,-9,2,0,-1,-14,2,-4,1,-1,1,11,11,5,-3,2,-2,0,-11,6,-1,-1,-1,-14,-17,6,-1,-1,1,6,3,-9,2,0,-1,-14,2,-4,1,-1,1,11,11,5,-3,2,-2,0,-11,6,2,0,-1,-19,-17,10,-1,-1,-1,-14,-17,6,-1,-1,1,6,3,-9,2,0,-1,-14,2,-4,1,-1,1,11,11,5,-3,2,-2,0,-11,6,2,0,-1,-19,-17,10,-1,-4,-5,38,30,-13,-1,-1,-1,-14,-17,6,-1,-1,1,6,3,-9,2,0,-1,-14,2,-4,1,-1,1,11,11,5,-3,2,-2,0,-11,6,2,0,-1,-19,-17,10,-1,-4,-5,38,30,-13,2,5,9,9,-2,6,-1,-1,-1,-14,-17,6,-1,-1,1,6,3,-9,DOWN
-3,1,5,-19,-1,10,0,-1,-1,1,3,-11,-3,1,5,-19,-1,10,0,-1,-1,1,3,-11,4,1,1,-21,-10,19,-2,-4,-5,29,12,-13,2,2,9,-9,1,7,-3,1,5,-19,-1,10,0,-1,-1,1,3,-11,4,1,1,-21,-10,19,-2,-4,-5,29,12,-13,2,2,9,-9,1,7,-5,1,-1,-4,-8,-8,3,3,-4,-10,-7,17,-4,-3,-4,16,15,-9,-3,1,5,-19,-1,10,0,-1,-1,1,3,-11,4,1,1,-21,-10,19,-2,-4,-5,29,12,-13,2,2,9,-9,1,7,-5,1,-1,-4,-8,-8,3,3,-4,-10,-7,17,-4,-3,-4,16,15,-9,0,-3,3,15,12,-10,-3,1,5,-19,-1,10,0,-1,-1,1,3,-11,4,1,1,-21,-10,19,-2,-4,-5,29,12,-13,2,2,9,-9,1,7,-5,1,-1,-4,-8,-8,DOWN
0,-1,-4,-9,-12,4,-1,0,0,7,6,-5,-1,-1,1,9,5,-11,0,-1,-4,-9,-12,4,-1,0,0,7,6,-5,-1,-1,1,9,5,-11,5,1,0,5,-21,18,-1,0,3,8,-3,2,-2,-1,0,-24,5,-2,0,-1,-4,-9,-12,4,-1,0,0,7,6,-5,-1,-1,1,9,5,-11,5,1,0,5,-21,18,-1,0,3,8,-3,2,-2,-1,0,-24,5,-2,3,-2,-5,14,21,-5,1,-1,-2,19,-17,18,0,6,3,11,13,?,0,-1,-4,-9,-12,4,-1,0,0,7,6,-5,-1,-1,1,9,5,-11,5,1,0,5,-21,18,-1,0,3,8,-3,2,-2,-1,0,-24,5,-2,3,-2,-5,14,21,-5,1,-1,-2,19,-17,18,0,6,3,11,13,1,-5,0,2,-14,7,-2,0,-2,-3,-8,-28,-15,0,-1,-4,-9,-12,4,DOWN
-1,-2,-1,37,1,-28,-1,-2,-1,37,1,-28,4,2,0,7,11,15,-5,1,4,-17,-1,3,1,-1,-2,-25,-11,-20,-1,-2,-1,37,1,-28,4,2,0,7,11,15,-5,1,4,-17,-1,3,1,-1,-2,-25,-11,-20,9,-3,-7,42,20,19,-8,5,7,-8,-8,-5,1,-1,-1,-5,-19,-1,-1,-2,-1,37,1,-28,4,2,0,7,11,15,-5,1,4,-17,-1,3,1,-1,-2,-25,-11,-20,9,-3,-7,42,20,19,-8,5,7,-8,-8,-5,1,-1,-1,-5,-19,-1,0,-5,-3,10,27,-9,4,3,5,8,-12,4,0,3,-1,-31,-18,31,-1,-2,-1,37,1,-28,4,2,0,7,11,15,-5,1,4,-17,-1,3,1,-1,-2,-25,-11,-20,9,-3,-7,42,20,19,-8,5,7,-8,-8,-5,1,-1,-1,-5,-19,-1,0,-5,-3,10,27,-9,DOWN
9,5,2,-107,177,-66,-8,-2,-2,39,-53,8,9,5,2,-107,177,-66,-8,-2,-2,39,-53,8,2,-2,-3,-2,-4,-7,-1,-5,-1,24,-16,-5,5,2,2,27,13,-7,9,5,2,-107,177,-66,-8,-2,-2,39,-53,8,2,-2,-3,-2,-4,-7,-1,-5,-1,24,-16,-5,5,2,2,27,13,-7,-1,9,7,-63,-26,47,-5,-10,-12,33,-2,-15,2,2,6,24,1,5,9,5,2,-107,177,-66,-8,-2,-2,39,-53,8,2,-2,-3,-2,-4,-7,-1,-5,-1,24,-16,-5,5,2,2,27,13,-7,-1,9,7,-63,-26,47,-5,-10,-12,33,-2,-15,2,2,6,24,1,5,3,0,-1,-5,39,1,1,0,4,8,5,4,-3,-2,2,-30,-22,5,9,5,2,-107,177,-66,-8,-2,-2,39,-53,8,2,-2,-3,-2,-4,-7,-1,-5,-1,24,-16,-5,DOWN
-6,-3,-3,20,-30,-4,3,3,6,0,54,-30,-6,-3,-3,20,-30,-4,3,3,6,0,54,-30,3,4,1,-32,-8,6,1,-5,-5,13,-15,14,3,-1,1,46,14,-11,-6,-3,-3,20,-30,-4,3,3,6,0,54,-30,3,4,1,-32,-8,6,1,-5,-5,13,-15,14,3,-1,1,46,14,-11,-1,4,6,-22,-13,34,-6,-3,-3,20,-30,-4,3,3,6,0,54,-30,3,4,1,-32,-8,6,1,-5,-5,13,-15,14,3,-1,1,46,14,-11,-1,4,6,-22,-13,34,-4,1,3,-46,17,-1,-6,-3,-3,20,-30,-4,3,3,6,0,54,-30,3,4,1,-32,-8,6,1,-5,-5,13,-15,14,3,-1,1,46,14,-11,-1,4,6,-22,-13,34,-4,1,3,-46,17,-1,-3,3,1,-41,19,-16,-6,-3,-3,20,-30,-4,3,3,6,0,54,-30,DOWN
-5,-1,-5,-1,-16,8,3,0,0,17,-7,-10,-5,-1,-5,-1,-16,8,3,0,0,17,-7,-10,4,5,7,11,20,13,-5,-1,-5,-1,-16,8,3,0,0,17,-7,-10,4,5,7,11,20,13,-8,0,1,-40,6,-4,-5,-1,-5,-1,-16,8,3,0,0,17,-7,-10,4,5,7,11,20,13,-8,0,1,-40,6,-4,2,0,3,-45,2,-9,-5,-1,-5,-1,-16,8,3,0,0,17,-7,-10,4,5,7,11,20,13,-8,0,1,-40,6,-4,2,0,3,-45,2,-9,5,-1,18,-68,57,-7,-5,-1,-5,-1,-16,8,3,0,0,17,-7,-10,4,5,7,11,20,13,-8,0,1,-40,6,-4,2,0,3,-45,2,-9,5,-1,18,-68,57,-7,2,0,16,-189,59,38,-5,-1,-5,-1,-16,8,3,0,0,17,-7,-10,4,5,7,11,20,13,DOWN
-4,-4,-6,27,14,-3,2,3,0,19,-15,8,-4,-4,-6,27,14,-3,2,3,0,19,-15,8,1,-3,3,-6,-2,1,-4,-4,-6,27,14,-3,2,3,0,19,-15,8,1,-3,3,-6,-2,1,12,1,1,-29,0,31,-4,-4,-6,27,14,-3,2,3,0,19,-15,8,1,-3,3,-6,-2,1,12,1,1,-29,0,31,-8,-2,3,-7,49,16,-4,-4,-6,27,14,-3,2,3,0,19,-15,8,1,-3,3,-6,-2,1,12,1,1,-29,0,31,-8,-2,3,-7,49,16,-9,10,28,-94,21,0,-4,-4,-6,27,14,-3,2,3,0,19,-15,8,1,-3,3,-6,-2,1,12,1,1,-29,0,31,-8,-2,3,-7,49,16,-9,10,28,-94,21,0,-13,-11,1,-226,-38,-20,-4,-4,-6,27,14,-3,2,3,0,19,-15,8,1,-3,3,-6,-2,1,DOWN
3,6,8,0,4,17,-3,1,0,-30,-7,23,3,6,8,0,4,17,-3,1,0,-30,-7,23,-9,-5,-4,-16,-26,-17,6,-1,-4,32,33,-27,2,3,5,12,5,-5,3,6,8,0,4,17,-3,1,0,-30,-7,23,-9,-5,-4,-16,-26,-17,6,-1,-4,32,33,-27,2,3,5,12,5,-5,0,0,2,-19,10,9,-5,1,2,-42,-55,9,1,-1,-4,-21,7,6,3,6,8,0,4,17,-3,1,0,-30,-7,23,-9,-5,-4,-16,-26,-17,6,-1,-4,32,33,-27,2,3,5,12,5,-5,0,0,2,-19,10,9,-5,1,2,-42,-55,9,1,-1,-4,-21,7,6,-2,-3,-7,1,19,-19,7,0,2,30,-2,25,3,6,8,0,4,17,-3,1,0,-30,-7,23,-9,-5,-4,-16,-26,-17,6,-1,-4,32,33,-27,2,3,5,12,5,-5,UP
